"NE" "EO" "BA" "LY" "MO"
"cg21220721" 0.945527952804243 -0.837027597789821 0.998469675218341 0.966114381560879 0.865622069804791
"cg11699125" 0.971242616455139 -0.204736510894122 0.829642445279433 0.977999132237817 0.920019501258548
"cg09249800" 0.96647561371059 -0.0698612516545165 0.875525272795602 0.970593693839175 0.936611188921491
"cg04983687" 0.927676508343053 -0.966529879635422 0.495524201923731 0.926222220004379 0.828249611220069
"cg08940169" 0.934052810758288 -0.163939218485635 0.544123328112849 0.97350498665677 0.832317537658563
"cg07970948" 0.924519924706852 -0.252434170580958 0.907062021649014 0.935072895011762 0.918973342921433
"cg14084609" 0.924943204530175 0.135411792896421 0.996120536623693 0.928427712434985 0.867325914011443
"cg05184016" 0.968538392064303 0.278545371544396 0.863593374491063 0.987769874019446 1.00322493372353
"cg02803925" 0.975159445542897 0.0705731544307667 0.981704840372554 0.991600313393185 0.941310491181342
"cg04497992" 0.827834815837234 -0.0875557160968208 0.728315628475893 0.841002700223747 0.846151697332236
"cg09664314" 0.499323493022397 0.583896368084887 10.9214964138095 -0.0542575588388474 0.629071451464495
"cg27098620" 0.887038778320628 0.926129472760626 0.151969482566286 0.971350659426495 0.914021815489658
"cg15648026" 0.0123604547964832 -0.0451048414406233 0.645187592349501 0.0309005626417519 0.122140494768533
"cg10713626" 0.2053546720336 0.34269698764937 -2.17362759450697 0.082202753904636 0.431339819070093
"cg12277532" 0.0297065102904748 0.0467159711987088 -1.34410612518367 0.0852190716224627 0.259108819826535
"cg27554556" 0.365686402525148 0.186587701125701 1.73246657353276 0.325486754559558 0.323351730401854
"cg10948088" 0.946278336629364 0.937143909739428 1.37135622686891 0.947253122572713 0.853494116725661
"cg04815835" 1.00284467877956 1.00583245795712 0.804923067714077 0.991246325982969 0.963777845599471
"cg16568373" 0.0992044650886512 0.0576845217958847 1.39789529585372 0.0951350584867147 0.0676504208182402
"cg04840025" 0.737999816488364 0.784206628542024 1.99060239987355 0.75602484887674 0.676976011309985
"cg25605731" 0.155457176151441 -0.257545126082443 0.178790793734754 1.01329043555788 0.280032684648171
"cg19573490" 0.291920784425657 0.0188550924715019 0.204458656436239 0.915878668795876 0.229386269934656
"cg02787852" 0.842135936751921 0.965364210421548 0.537709499932848 0.256380050264726 1.02613258499877
"cg15033269" 0.291024492556191 0.198615593248021 0.419325676476357 0.952770597628458 0.344237921148578
"cg09993145" 0.793930194969312 1.10786201011446 0.53047346449874 -0.0172456887253269 0.377850250814169
"cg07095530" 0.416428506710133 0.274343809139575 0.40242164526286 0.827761945360121 0.335877385047588
"cg02019444" 0.146794666664642 -0.160923965711254 -0.174600340456661 0.896016044105426 -0.0873285933712753
"cg09540612" 0.236579440109078 -0.0499957932485287 0.242246257717741 0.861967318792626 0.0971788295197143
"cg07481273" 0.312320112721587 0.237957508048851 0.179622173630301 0.981129049468005 0.255633403720666
"cg03624316" 0.231773669862447 0.0576278651175644 0.210011571662149 0.811370283647125 0.114914363814478
"cg24788483" 0.881088087456472 0.953345423231684 0.449206224668339 0.841034279343352 0.226522269468136
"cg26872907" 0.8960151639275 0.849291124404631 0.676152574130678 0.954165567647779 -0.0835140138411573
"cg23244761" 0.948318697276254 0.921936051892157 0.887254385956631 0.97263182541149 0.337606973433931
"cg03963853" 0.956186538607892 0.951522641767832 0.756205993329409 0.944242376045669 0.407077427388841
"cg18066690" 0.92754826581184 0.934622489375081 1.17544847854635 0.940297657309647 0.57454416084244
"cg23719713" 0.881830131360463 0.881898820628845 0.623542620797281 0.872910337095688 0.38365147577222
"cg02244028" 0.889332526900556 0.926126992282442 0.755832161214693 0.920001375458029 0.483173170847838
"cg12422199" 0.906097950631131 0.947479161892431 0.706651525595994 0.872852601773497 0.405202428047712
"cg13430807" 0.845128275268683 0.865461714224113 0.836435231775084 0.891185373680693 0.442978883979186
"cg10732094" 0.797770849985325 0.851586417508244 0.644785968487736 0.85058421472302 0.364889446821009
