"NE" "EO" "BA" "MO" "EM_CT" "CM_CT" "E_CT" "N_CT" "EM_HT" "CM_HT" "E_HT" "N_HT" "B" "DC" "NK"
"cg11699125" 0.910601590175084 -1.55981875694945 0.565163596609581 0.915092501339032 0.940170411732137 1.26433020544765 1.02251618768007 0.817026491228762 0.581392382070726 1.0054069141017 0.844077844203049 0.990255478955058 0.712459181983536 0.977328588691303 0.970330200183068
"cg09249800" 0.922343460574337 -1.17588890547956 0.902709868087459 0.9016048198318 0.757369646558341 1.28362098376956 0.931227700400457 0.879256689534269 0.711599441771833 0.983305434118407 0.828504171078951 0.95193162127898 0.907411062015273 0.827101393369074 0.916996216874392
"cg21220721" 0.935984726186553 -1.66812891566413 1.26257754791359 0.879695965389873 0.766117106612966 1.14075834479919 0.955398028503684 0.968883031038682 0.692477714642497 1.03094739851879 0.717324333500341 0.914397271725248 0.902938656785241 0.920431554413198 0.966853549485731
"cg04983687" 0.900270577923349 -1.57411025157103 0.304354709401773 0.84183540791778 0.570577075124788 1.18318636690132 0.987441550718513 0.933071221342036 0.552403855006061 1.07784926227216 0.857989417993418 0.858275279453368 0.80497864354503 0.739097623942048 0.81421808320419
"cg07970948" 0.890384336083115 -0.923637972770587 0.515058666751446 0.830377613217184 1.1053322777165 0.767676282747617 0.858719343465626 0.752922328772904 0.905033107048458 0.893778193258425 0.945389670810772 0.918539735040697 0.950975866311825 0.987677388308487 0.879594484583948
"cg13835688" 0.861926544007651 -0.408415946861331 0.777621288158702 0.796696766899003 0.910260752179016 0.797268012906006 0.877901613661208 0.962516944248287 0.727664352760306 0.905460075265652 0.807968716777585 0.860021345409552 0.863996877188615 0.750785103634384 0.909350288966504
"cg05184016" 0.970203796697781 -0.0828167943276004 0.862235241590292 0.908620602477812 1.1495598296869 0.804665480210374 1.01073196926628 0.796239651346906 0.847892610518599 1.0132995918373 1.06033503273164 0.980229766581394 0.990840368194749 1.05402338755086 0.977095972824641
"cg08940169" 0.90709385771718 -0.78555304778802 0.556408981443229 0.916187851444393 0.925345721013486 0.714573933299139 0.997281794794989 1.03685856432013 0.653508364180224 1.0790815166499 0.899615338475618 0.86737559850738 0.929542816666733 1.11448108303474 0.909976236394472
"cg04497992" 0.801165659224844 -0.498851131837988 0.871555630943646 0.847442177606621 0.818990674201623 0.449127840653756 0.827107110010849 1.18142879487541 0.616002129445402 1.0101924235632 0.705543109419665 0.832127587420682 0.875606396788904 0.974069579935398 0.814736563117917
"cg09377531" 0.879193445036871 -0.620845056554821 0.772760757235121 0.905371976034252 0.773712291510099 0.927933809889501 0.834842160302676 1.04695509678205 0.672969970611637 1.0201858085063 0.785461872172965 0.88381405179112 0.737956605034582 0.871597994439174 0.830027043101396
"cg16202259" 0.951557229739763 -0.469394119632994 0.857344135601656 0.992347990853028 0.979700284161736 1.13612787713493 0.959500881215829 0.867234348831318 0.916009572000096 0.95247220118459 0.9676298481192 0.978025716862957 0.971614420463724 0.785863190530835 0.936783791196175
"cg10704177" 0.838030578591251 -0.341702815387801 0.686655186413799 0.802338222758713 0.888142723053197 0.654842992206579 0.821486510587519 0.923071749281174 0.863121382960213 0.832118624651834 0.821284123337436 0.840078494240852 0.87145358964429 0.893508986553044 0.818863916468776
"cg05300717" 0.917529109174672 -0.660954369705573 1.19423345485953 1.01617427692531 0.868791381497701 1.10919365054635 0.954571712658794 0.948857487199971 0.855236848031518 1.04446468211373 0.864840244047389 0.94601744228326 0.779660702913411 0.916077672901558 0.902262922964235
"cg16362140" 0.860433776460875 -0.111827083044738 1.08193145742665 0.85380588088034 0.864446290734048 0.734023333733712 0.890270162999896 0.945835180232506 0.756184952763468 0.944183863744342 0.793490465075221 0.878154443113927 0.795533842139348 1.07733194634348 0.894829558738195
"cg22503106" 0.897286755089995 -0.663664537637952 1.00302006022175 0.841638959099541 0.993972767151883 1.05230812287627 1.01732802828697 1.05847007435574 0.802583577083471 1.02132178797605 0.916752599972581 0.964537330666182 0.83445757205764 0.861582616345295 0.944815044550533
